iter	Passed	Remaining
624	4673	10281
625	4681	10274
626	4688	10266
627	4695	10259
628	4703	10251
629	4710	10244
630	4718	10236
631	4725	10228
632	4732	10220
633	4739	10212
634	4747	10205
635	4754	10196
636	4761	10188
637	4768	10180
638	4776	10172
639	4783	10164
640	4790	10156
641	4797	10148
642	4804	10140
643	4812	10132
644	4820	10126
645	4827	10118
646	4834	10110
647	4841	10101
648	4848	10093
649	4855	10084
650	4862	10076
651	4870	10069
652	4877	10061
653	4885	10054
654	4892	10046
655	4901	10041
656	4909	10036
657	4917	10028
658	4924	10020
659	4931	10012
660	4938	10004
661	4946	9996
662	4953	9989
663	4961	9982
664	4967	9973
665	4975	9965
666	4982	9957
667	4989	9949
668	4996	9941
669	5004	9934
670	5012	9928
671	5020	9922
672	5028	9914
673	5035	9907
674	5043	9899
675	5050	9892
676	5057	9884
677	5065	9876
678	5072	9869
679	5080	9861
680	5087	9854
681	5095	9846
682	5102	9839
683	5110	9831
684	5117	9824
685	5124	9816
686	5132	9809
687	5139	9800
688	5148	9795
689	5158	9793
690	5165	9785
691	5172	9777
692	5180	9770
693	5187	9762
694	5195	9755
695	5203	9748
696	5210	9741
697	5217	9732
698	5225	9726
699	5233	9719
700	5241	9713
701	5249	9706
702	5258	9702
703	5267	9697
704	5275	9690
705	5283	9683
706	5291	9677
707	5299	9671
708	5308	9665
709	5316	9659
710	5324	9652
711	5332	9646
712	5340	9639
713	5347	9632
714	5356	9626
715	5364	9619
716	5372	9613
717	5380	9606
718	5387	9599
719	5396	9592
720	5404	9586
721	5412	9580
722	5420	9573
723	5428	9566
724	5435	9559
725	5444	9553
726	5451	9545
727	5459	9539
728	5467	9532
729	5476	9526
730	5483	9519
731	5491	9513
732	5499	9506
733	5507	9499
734	5515	9492
735	5523	9485
736	5531	9478
737	5539	9472
738	5546	9465
739	5554	9457
740	5561	9449
741	5568	9441
742	5575	9433
743	5583	9426
744	5591	9419
745	5599	9412
746	5606	9403
747	5614	9397
748	5621	9389
749	5629	9382
750	5636	9373
751	5643	9365
752	5650	9357
753	5657	9349
754	5664	9341
755	5672	9333
756	5679	9325
757	5686	9317
758	5693	9309
759	5701	9302
760	5708	9294
761	5716	9286
762	5723	9278
763	5730	9270
764	5737	9262
765	5744	9254
766	5753	9248
767	5760	9240
768	5767	9233
769	5775	9225
770	5782	9216
771	5788	9208
772	5796	9201
773	5804	9193
774	5811	9185
